#domain,ioc
update.westus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
update.windows-beta.info,Possible Cobalt Strike C2 Domain
update37.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
updates.imedicalhub.com,Possible Cobalt Strike C2 Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
veriernano.com,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
vm.updataus.com,Possible Cobalt Strike C2 Fronting Domain
vpn.nsfocus.cn.com,Possible Cobalt Strike C2 Domain
waltonfoods.com,Possible Cobalt Strike C2 Domain
wps.cncb.info,Possible Cobalt Strike C2 Domain
www.fucksec.buzz,Possible Cobalt Strike C2 Domain
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain
www.micros0fti.com,Possible Cobalt Strike C2 Domain
www.weepstakes.com,Possible Cobalt Strike C2 Domain
www.xss.mba,Possible Cobalt Strike C2 Domain
www1.allegiancefithealth.com,Possible Cobalt Strike C2 Domain
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
xmr.index-gpt.pro,Possible Cobalt Strike C2 Domain
zx.reg32.com,Possible Cobalt Strike C2 Domain
zx.regcssv.com,Possible Cobalt Strike C2 Domain
