#ip,ioc
129.211.222.142,Possible Cobaltstrike C2 IP
13.68.216.103,Possible Cobaltstrike C2 IP
13.92.24.109,Possible Cobaltstrike C2 IP
130.193.36.118,Possible Metasploit C2 IP
132.145.126.111,Possible Cobaltstrike C2 IP
132.232.113.242,Possible Cobaltstrike C2 IP
134.122.160.145,Possible Cobaltstrike C2 IP
134.122.160.187,Possible Cobaltstrike C2 IP
134.122.4.80,Possible Cobaltstrike C2 IP
134.122.75.115,Possible Cobaltstrike C2 IP
134.175.121.178,Possible Cobaltstrike C2 IP
134.175.127.254,Possible Cobaltstrike C2 IP
134.175.55.199,Possible Cobaltstrike C2 IP
134.209.104.32,Possible Cobaltstrike C2 IP
136.243.103.214,Possible Metasploit C2 IP
137.184.101.24,Possible Cobaltstrike C2 IP
138.197.127.231,Possible Cobaltstrike C2 IP
138.68.118.29,Possible Powershell Empire C2 IP
139.180.212.88,Possible Cobaltstrike C2 IP
139.198.181.40,Possible Cobaltstrike C2 IP
139.224.188.165,Possible Cobaltstrike C2 IP
139.224.207.208,Possible Cobaltstrike C2 IP
139.59.140.134,Possible Cobaltstrike C2 IP
139.9.186.196,Possible Cobaltstrike C2 IP
14.225.19.116,Possible Cobaltstrike C2 IP
140.143.147.251,Possible Cobaltstrike C2 IP
142.93.2.25,Possible Cobaltstrike C2 IP
143.92.58.106,Possible Cobaltstrike C2 IP
146.185.243.4,Possible Cobaltstrike C2 IP
146.190.8.159,Possible Cobaltstrike C2 IP
146.70.113.195,Possible Metasploit C2 IP
147.139.212.210,Possible Cobaltstrike C2 IP
147.182.170.15,Possible Powershell Empire C2 IP
147.78.47.183,Possible Cobaltstrike C2 IP
147.78.47.184,Possible Cobaltstrike C2 IP
147.78.47.185,Possible Metasploit C2 IP
147.78.47.226,Possible Cobaltstrike C2 IP
147.78.47.231,Possible Cobaltstrike C2 IP
148.135.116.42,Possible Cobaltstrike C2 IP
149.127.215.132,Possible Cobaltstrike C2 IP
150.107.2.106,Possible Metasploit C2 IP
150.158.13.117,Possible Cobaltstrike C2 IP
150.158.135.188,Possible Cobaltstrike C2 IP
150.158.139.244,Possible Cobaltstrike C2 IP
150.158.161.38,Possible Cobaltstrike C2 IP
150.158.176.236,Possible Cobaltstrike C2 IP
150.158.180.97,Possible Cobaltstrike C2 IP
150.158.37.125,Possible Cobaltstrike C2 IP
150.158.45.62,Possible Cobaltstrike C2 IP
150.158.49.33,Possible Cobaltstrike C2 IP
150.158.50.177,Possible Cobaltstrike C2 IP
150.158.51.99,Possible Cobaltstrike C2 IP
152.136.104.49,Possible Cobaltstrike C2 IP
152.136.116.44,Possible Cobaltstrike C2 IP
152.32.135.165,Possible Cobaltstrike C2 IP
152.32.174.103,Possible Cobaltstrike C2 IP
